"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-26","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-27","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-28","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-29","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-09-30","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-01","82",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-02","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-03","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-04","86",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-05","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-06","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-07","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-08","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-09","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-10","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-11","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-12","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-13","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-14","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-15","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-16","84",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-17","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-18","83",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-19","85",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-20","87",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-21","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-22","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-23","76",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-24","80",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-25","81",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-26","78",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-27","77",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-28","68",,
"IN022023000","NEW DELHI PALAM, IN","28.567","77.117","233.0","2015-10-29","71",,
